,HeavyMetal,RawSewage,1:1_Dilution,1:1_Control,1:3_Dilution,1:3_Control,1:7_Dilution,1:7_Control
0,Mn,57.516373177440016,31.431752286097,11.16212953138879,94.77476740609885,11.652405410788823,55.16125551505851,20.44329695832022
1,Cu,25.79038668921273,35.26569133840472,16.120949676548005,45.773120435507195,14.4330616710682,59.86378610823624,26.87943113634697
2,Co,52.25920479359496,8.309450154827374,4.105632412092701,17.415088056219663,6.11219177350951,42.20393265775952,2.8049484559918225
3,Cr,3.766429941136439,30.298268096440808,5.600659067844331,28.975732250627207,7.461516178779075,56.55379394164412,1.4377626309419653
4,Cd,49.26168625875958,10.78610609755668,6.273545314107801,18.320772345412443,6.468044253219252,29.800378782951874,6.439977807589951
5,Zn,27.76871668082305,38.4530513398189,9.985961912933215,32.59328117420349,10.726493988668263,43.06586625147736,5.682199373519247
