,HeavyMetal,RawSewage,1:1_Dilution,1:3_Dilution,1:7_Dilution
0,Mn,-51.83890687203473,-112.67638493598146,-134.52623385922124,-245.3486198034583
1,Cu,-85.65899544509003,-97.30333231389501,-103.53673406089432,-157.73020147763253
2,Co,-24.838653374037307,-44.09620686128372,-83.3323558988297,-96.88289647094506
3,Cr,-71.27122785175158,-137.55098635443554,-276.5439162688217,-342.37048408021684
4,Cd,-15.411163467060469,-42.062176162931344,-30.341771965465014,-53.45779087894338
5,Zn,-554.0288583795503,-181.81640816713133,-167.59016955629718,-264.3331516109503
